"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"111_SKYRA.long.template_111",5570.9,241.1,15504.5,60477.3,8088.8,4393.5,5722.9,1815.8,871.2,2064.8,21538.8,4725.7,1697.9,1291.7,748,4191.3,49.5,987.7,4261.3,166.1,15007.3,63146.2,7931,4619.2,5615.5,1773.8,4975.3,1929.6,820.6,4252.1,66.6,969,0,1087.7,0,0,9,0,0,173,1009.8,564.8,682.4,584.2,823.7,1361765,1345756,1346233.52807,321079.901555,319928.492911,641008.394466,242364.453908,243239.679693,485604.133601,65256,831367.394466,1206751.52807,1194833.52807,1191292,1843403,0.799489,1.082257,1703294.45775
"112_VERIO.long.template_112",3555.9,131.9,19466.2,56383.8,7314.6,3739.5,5136.3,1743.7,821.2,1775,23634.8,4006.6,1519.4,879.2,652.6,3896.7,113.9,946.1,4163.9,227.8,19456,57677.5,7293.5,3810.1,5143.6,1677.9,4229.5,1836.4,703.8,4047.4,105.2,922.1,0,822.9,0,0,12.4,0,0,146.6,1017.6,673.9,793.6,684.3,837.2,1231772,1218732,1218506.7197,257459.469974,257734.945763,515194.415737,246693.629748,244658.674211,491352.303959,58634,688652.415737,1077518.7197,1067820.7197,1065482,1659813,0.780822,1.052158,1577531.45347
"112_SKYRA.long.template_112",3671.4,141.8,19109.2,56218.3,7586,3882.8,5274,1686.1,842.7,1752.9,23518.5,4130.4,1564.1,877.4,738.1,3952.1,130.4,981,4321.2,205.3,18615.3,57364.9,7472.9,3973.9,5273.2,1683,4337.8,1854.7,690.9,4169.1,114.6,912.2,0,815.6,0,0,4.3,0,0,189,1028,681.3,761.5,741.8,839.7,1245332,1231992,1231605.07127,258741.541748,259380.996344,518122.538092,252070.572904,249820.960279,501891.533183,60250,692876.538092,1092980.07127,1082981.07127,1080740,1658930,0.789418,1.051599,1577531.45347
"113_VERIO.long.template_113",5634.3,339.4,13945.5,54008.7,6666.1,3346.1,4679.1,1691.9,645.7,1669.4,19202.2,3796,1620.8,1167.5,715.3,3745.2,72.1,1217.5,7530.9,273.7,14954.2,57247.3,6155,3556.3,4697.4,1678.2,3830.3,1858.5,675.5,3654.3,92.9,1095.9,0,690.9,0,0,7.8,0,0,143.6,1068,511.7,396.4,444.5,977.9,1038621,1019267,1019639.32433,226710.131033,225464.715505,452174.846538,187365.473247,185723.004547,373088.477794,54375,618748.846538,898006.324332,881930.324332,879229,1441079,0.767978,1.065564,1352409.88393
"113_SKYRA.long.template_113",5536.5,342.9,14014.3,53170.5,6730.4,3432.5,4582.8,1703.6,579.5,1678.2,18974.5,3857.5,1640.2,1055.7,717,3847.8,75.9,1195.5,7559.9,264,14545.5,55806,6324.4,3639.7,4709.3,1708.5,3720.2,1858.5,700.2,3679.8,93.7,1090.9,0,612.5,0,0,12.4,0,0,158.1,1056.6,567.2,404.6,455.6,992.8,1048789,1029726,1029749.64186,231004.684245,230338.460884,461343.145129,188681.13693,187660.3598,376341.496731,54598,625970.145129,910356.641859,894430.641859,892209,1438399,0.775496,1.063582,1352409.88393
"114_VERIO.long.template_114",31809.9,1031.7,13318.9,48160.7,5866.2,3949,4591.9,2045.2,2072.2,2671.7,17724.3,3360.1,1813.2,1487.4,377.2,3376.1,72.1,1249.8,18305,623.5,12949.7,47656.5,6212.4,3950.2,4832.4,1675.7,3760.7,2025.9,496.7,3330.9,95.4,1175.1,0,1080.1,0,0,6.7,0,0,173.3,856.3,377.3,354.7,378,895.8,1069328,1008426,1008521.32055,235178.653621,231750.531562,466929.185183,185396.102062,180037.033307,365433.135369,52952,617578.185183,942602.320551,887975.320551,885190,1536958,0.695448,0.999576,1537609.8679
"114_SKYRA.long.template_114",32370.1,1078,12583.6,47676,5988.6,3938.2,4655.9,1998.4,2128.3,2600.7,17649.9,3468.6,1752.7,1414.3,388.8,3516.8,72.4,1301.3,18783.7,655.3,12445.7,47446,6272.2,4049,4803.1,1753.7,3727.7,1915.6,517.2,3499.9,116.8,1260.6,0,1135.9,0,0,8,0,0,176.2,867.3,380,355,394.6,918.9,1079817,1017711,1017732.10391,235713.329264,235367.525724,471080.854988,188038.130717,184286.118205,372324.248921,53623,621477.854988,955572.103909,899649.103909,896997,1532998,0.70227,0.997001,1537609.8679
"115_VERIO.long.template_115",9880.9,223.1,21069.8,67433.3,8413.5,5240.4,6633.4,2232.8,1327.1,2521.9,26586.4,4423.2,1903.4,1302.7,848.9,4470.7,95.2,1466.8,10109.5,206,20593.5,70541.5,8418.1,5333.4,6873.8,2198.6,4708.1,2003.3,914,4464.2,67,1217.7,0,1188,0,0,14.2,0,0,242.5,1022.2,514.6,485.3,530.4,1207.3,1474743,1446769,1446701.16614,335758.331179,329659.672739,665418.003919,265906.359641,263418.802578,529325.162219,70938,876191.003919,1292620.16614,1269669.16614,1265697,2032369,0.768486,1.059064,1919024.40993
"115_SKYRA.long.template_115",10122.3,203.6,19812.1,67251.2,8924,5363,6950.4,2241.6,1302,2456.9,24769.9,4551.2,1942.6,1255.6,905,4704.1,107.9,1734.2,10287.2,206.8,18731.5,69167.4,8904.7,5539.4,7056.8,2316.4,4725.1,2103.3,914.1,4713.6,74.4,1578.8,0,1145.1,0,0,17,0,0,223.2,1058.7,533.5,504.5,559.2,1235.1,1508961,1480181,1480106.51142,339528.943394,342961.429495,682490.37289,272675.429009,274625.709518,547301.138527,73895,895201.37289,1332233.51142,1308236.51142,1303729,2029912,0.786317,1.057783,1919024.40993
"116_VERIO.long.template_116",8813.9,310.7,13634.3,53417.6,6461.9,3840.6,5087.5,2456.5,769.6,1856.7,18538.7,4199.6,1707.2,884.1,255,3281.3,142.1,1389.8,11385.6,289.8,12919.9,54276.9,6758.8,4085.2,5281.1,2283.5,4376.6,1773.7,553.6,3186.9,45,1245.2,2.1,612.8,0,0,7.2,0,0,186.1,1097.7,459.9,418.8,444.4,1084.2,1122187,1095420,1095209.01718,232504.848073,233243.617441,465748.465515,218708.604283,217739.947379,436448.551663,57311,633230.465515,986271.017177,962930.017177,959784,1541220,0.757097,1.039803,1482222.7909
"116_SKYRA.long.template_116",9252.3,350.2,13635.7,53123.1,6550,3874.4,5265.4,2213,837.4,1872.7,17784.9,4290.8,1749.7,1003,530.1,3671.3,154.8,1436.4,11776.4,406.6,12598.5,54191.8,6814.3,4148,5413.3,2148.7,4456.5,1824.9,561.1,3909.5,88.8,1163,11.3,662.4,0,0,12.6,0,0,197.7,1105.1,427.4,406.4,436.6,1053.2,1123354,1095384,1094988.33046,231119.609953,233137.824492,464257.434445,218677.204879,218125.691134,436802.896014,59286,632877.434445,988054.330459,963630.330459,960817,1537808,0.757885,1.037501,1482222.7909
