"Measure.volume","Left.Lateral.Ventricle","Left.Inf.Lat.Vent","Left.Cerebellum.White.Matter","Left.Cerebellum.Cortex","Left.Thalamus.Proper","Left.Caudate","Left.Putamen","Left.Pallidum","X3rd.Ventricle","X4th.Ventricle","Brain.Stem","Left.Hippocampus","Left.Amygdala","CSF","Left.Accumbens.area","Left.VentralDC","Left.vessel","Left.choroid.plexus","Right.Lateral.Ventricle","Right.Inf.Lat.Vent","Right.Cerebellum.White.Matter","Right.Cerebellum.Cortex","Right.Thalamus.Proper","Right.Caudate","Right.Putamen","Right.Pallidum","Right.Hippocampus","Right.Amygdala","Right.Accumbens.area","Right.VentralDC","Right.vessel","Right.choroid.plexus","X5th.Ventricle","WM.hypointensities","Left.WM.hypointensities","Right.WM.hypointensities","non.WM.hypointensities","Left.non.WM.hypointensities","Right.non.WM.hypointensities","Optic.Chiasm","CC_Posterior","CC_Mid_Posterior","CC_Central","CC_Mid_Anterior","CC_Anterior","BrainSegVol","BrainSegVolNotVent","BrainSegVolNotVentSurf","lhCortexVol","rhCortexVol","CortexVol","lhCerebralWhiteMatterVol","rhCerebralWhiteMatterVol","CerebralWhiteMatterVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","SupraTentorialVolNotVent","SupraTentorialVolNotVentVox","MaskVol","BrainSegVol.to.eTIV","MaskVol.to.eTIV","EstimatedTotalIntraCranialVol"
"14_unwarped_SKYRA.long.template_14_unwarped",10355.1,487.1,20432.3,55096.4,8584,4630.6,5665.9,2429.1,861.5,2437,25801.7,4305.4,2040.9,675.1,639.7,4483.9,107.3,1520.7,14704.9,553.2,18459.1,56502.6,8597.7,4837.1,5750.1,2232.4,4481,1987.2,807.3,4515.9,114.4,1319.2,11.5,1068.1,0,0,11.5,0,0,183.5,1040.8,612.3,516.2,574.6,1150.9,1338198,1305606,1305506.80307,275467.399063,276961.08479,552428.483853,266105.840945,267031.478276,533137.319221,68074,734016.483853,1185670.80307,1156831.80307,1153754,1760604,0.798989,1.051193,1674863.13903
"15_unwarped_VERIO.long.template_15_unwarped",13457.2,615.1,16182.9,53461.4,7686.3,3800.1,6072,2086.7,843.3,2165.7,22013.5,3880.6,1747.1,1392.4,429,3672.9,53.2,1185.3,7559.5,417.5,15131.8,56461,7493.8,3846.5,5972.1,1967.7,4371.9,1747.6,642.8,3556.4,64.2,1218,0,510.3,0,0,18.9,0,0,251.6,936.5,517.4,502.2,496.2,813.3,1215969,1187095,1186904.98069,267588.890407,260443.265113,528032.155521,230803.705599,225073.119571,455876.82517,60633,700363.155521,1072584.98069,1047964.98069,1044583,1636832,0.752741,1.013274,1615389.21184
"15_unwarped_SKYRA.long.template_15_unwarped",13398.4,593.4,16173.2,55221.9,7822.7,3866.1,6155.6,2123.5,822.1,2088.1,21578.4,4086.2,1750.6,1405.6,468.8,3921.6,56,1271.7,7502.5,396.2,15093.8,57389.8,7652.5,3887.9,6072.4,2056.7,4492.6,1934.9,666.9,3856.3,51.9,1347.3,2.6,607.6,0,0,14.9,0,0,244.3,941.2,557.2,520,503.2,839.2,1232024,1203461,1203495.89957,268955.739584,263558.527838,532514.267422,234035.204292,229232.427861,463267.632153,62763,709872.267422,1086655.89957,1062137.89957,1058363,1639197,0.762679,1.014738,1615389.21184
"16_unwarped_VERIO.long.template_16_unwarped",4220,125.4,15749.7,44148.2,6779.5,3606,4869.3,1830.1,625.5,1674.7,21004.6,3595,1575.5,793.6,547.1,3720.7,17.4,671,3847.2,463.4,14580.3,46692.9,6655.5,3846.8,5116.2,1865.6,3610.9,1801.4,651.2,3811.8,74.6,658.8,0,869.3,0,0,2.9,0,0,90.9,839,575.8,673.8,678.7,837.8,1065602,1052812,1052919.52773,237654.87151,239689.892715,477344.764225,196905.414306,201964.349199,398869.763504,55515,624602.764225,944047.52773,934196.52773,931601,1466181,0.790806,1.088084,1347488.7529
"16_unwarped_SKYRA.long.template_16_unwarped",4261.7,132.4,15345.8,45817.7,6723.8,3620.1,4846.8,1862.6,574.3,1678.4,20962.2,3604.5,1623,833.2,552.2,3903.5,30,685.8,3840.7,459.7,14250.3,47516.3,6629.8,3903.7,5083.2,1835.4,3664.8,1774.2,641.6,4066.4,68.2,706.8,0,829.8,0,0,4.4,0,0,101.3,857.7,593.1,649.7,668.9,845.1,1082175,1069324,1069248.45689,238975.713697,243763.272865,482738.986562,201250.960077,206661.510249,407912.470325,55916,632949.986562,958848.456887,948890.456887,946620,1469043,0.803105,1.090208,1347488.7529
"17_unwarped_VERIO.long.template_17_unwarped",4591.9,174.6,15276.2,49898.7,7155,2788.4,4992.9,2028.4,702.5,1376.3,20689,3631.2,1595.7,813.1,564.7,3519.8,65.3,771.2,3059.2,306.9,14908.3,49398.4,7517.1,2901.1,4988,1890.1,4147.7,1791,596.2,3519.2,150.3,678.9,9.3,1004.4,0,0,4.7,0,0,154.2,902.7,532.3,670,565.7,794.9,1118511,1106396,1106543.37771,240385.310404,243113.448712,483498.759116,218037.705481,219470.913115,437508.618596,55357,638836.759116,988179.377712,978806.377712,976268,1562240,0.728282,1.017202,1535820.31301
"17_unwarped_SKYRA.long.template_17_unwarped",4575.5,170.6,15699.1,51186.3,7337.8,2871.6,5200,2007.8,667.2,1304.5,20647,3711,1575.6,825.5,539.4,3848.8,81.1,858.9,3068.3,351.9,14281.3,50388,7642.1,2976,5112,1877.3,4202.9,1727.2,583.4,3818.3,132.2,763.5,6.2,1003.1,0,0,4,0,0,169,914.8,524.3,681.5,493.8,874.4,1136028,1123846,1124074.05482,244897.534501,246367.672931,491265.207432,221396.000883,222121.846508,443517.847391,56996,651035.207432,1004095.05482,994518.054823,991585,1560292,0.739688,1.015934,1535820.31301
"18_unwarped_VERIO.long.template_18_unwarped",5837,204.4,14445.6,56154,6706.5,4167.4,5264,1933.8,1004.9,2339.6,18847.8,3773.4,1631.4,1182.3,537.1,3659,154,1072,6828.3,325.8,14319.1,56670.1,6786.2,4286.6,5281.6,1679.7,3906.2,1804.6,662.7,3587.2,81.6,986.7,6.4,491.8,0,0,8.8,0,0,92.7,994.8,467.3,409.3,424.6,924.5,1175725,1156079,1156976.1002,261618.976345,257675.877926,519294.854271,221528.351055,216722.89487,438251.245925,57401,690592.854271,1032781.1002,1017582.1002,1014192,1617216,0.760701,1.046348,1545580.68938
"18_unwarped_SKYRA.long.template_18_unwarped",6041,240.6,14698.1,56614.9,6768.4,4210.9,5378.6,1922.4,1019.3,2276.9,18904.2,3799.9,1592.3,1197.5,561,3759.9,152.3,1167.5,7074.7,320.4,14499.5,57576.9,6741.9,4282.5,5292.4,1725.7,3969.8,1744.4,662.8,3761.9,86.3,1044.5,3,435.4,0,0,8.4,0,0,108.4,1010,518.2,413.3,430.9,922.4,1188532,1168441,1168786.37979,265283.853947,261658.771178,526942.625124,222248.046834,217905.707833,440153.754668,57893,700229.625124,1043371.37979,1027618.37979,1024762,1620641,0.768987,1.048564,1545580.68938
"19_unwarped_VERIO.long.template_19_unwarped",8236.3,396.3,17668.5,58577,7150.4,3773.1,5719.4,2253.2,1121.4,1783.8,23329.1,3788.8,1892.6,1175.9,586,3918.3,128.6,1016.8,6104.6,334.7,16258.6,61292,6995.3,3693.9,5424.1,1907.5,4108.6,1907,718,4043.3,93.9,994.2,0,582.9,0,0,3,0,0,117.6,928.1,590.9,545.2,808.4,886.1,1206070,1185163,1185508.41585,262776.344885,257749.189313,520525.534198,225567.319025,224485.562629,450052.881654,59666,702108.534198,1050343.41585,1033350.41585,1029999,1643436,0.744817,1.014916,1619283.123
