"ID","rh_bankssts_area","rh_caudalanteriorcingulate_area","rh_caudalmiddlefrontal_area","rh_cuneus_area","rh_entorhinal_area","rh_fusiform_area","rh_inferiorparietal_area","rh_inferiortemporal_area","rh_isthmuscingulate_area","rh_lateraloccipital_area","rh_lateralorbitofrontal_area","rh_lingual_area","rh_medialorbitofrontal_area","rh_middletemporal_area","rh_parahippocampal_area","rh_paracentral_area","rh_parsopercularis_area","rh_parsorbitalis_area","rh_parstriangularis_area","rh_pericalcarine_area","rh_postcentral_area","rh_posteriorcingulate_area","rh_precentral_area","rh_precuneus_area","rh_rostralanteriorcingulate_area","rh_rostralmiddlefrontal_area","rh_superiorfrontal_area","rh_superiorparietal_area","rh_superiortemporal_area","rh_supramarginal_area","rh_frontalpole_area","rh_temporalpole_area","rh_transversetemporal_area","rh_insula_area","rh_WhiteSurfArea_area","BrainSegVolNotVent.x","eTIV.x","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent.y","eTIV.y"
"73_SKYRA.long.template_73",933,775,2023,1312,430,2936,4973,3235,851,4269,2212,3095,1864,3253,692,1293,1260,724,1339,1436,3686,1374,4073,3487,556,5250,6592,4650,3401,3524,251,489,323,2093,78653,1086176,1470566.579,957,618,1856,1278,497,2964,4663,3361,921,4983,2424,2926,1828,3132,690,1052,1552,635,1248,1220,3854,1232,4137,3414,631,5315,6757,4703,3418,3583,258,423,348,2243,78955.6,1086176,1470566.579
"74_VERIO.long.template_74",932,659,1958,1652,243,3358,5726,3400,1033,4922,2510,3316,1649,3655,693,1331,1322,1099,1498,1715,3892,1209,4356,3906,550,6058,7097,4946,3401,3668,269,389,282,2030,84726.9,1103432,1492305.6629,949,719,2352,1303,380,3213,4621,3621,947,4833,3053,3088,1785,3270,725,1410,1509,770,1243,1215,4088,991,4535,3813,944,5745,6527,5127,3883,4176,218,319,414,2054,83840.2,1103432,1492305.6629
"74_SKYRA.long.template_74",955,649,1932,1639,260,3392,5806,3439,1053,5063,2609,3381,1779,3697,714,1333,1320,1089,1481,1731,3797,1203,4365,3905,536,6022,6892,4992,3418,3741,280,407,287,2047,85213.6,1086726,1492305.6629,984,718,2308,1303,378,3239,4718,3674,952,5024,3028,3091,1691,3249,723,1382,1511,752,1238,1248,3920,1010,4444,3767,941,5646,6314,5072,3877,4170,219,339,422,2074,83422.6,1086726,1492305.6629
"75_VERIO.long.template_75",985,625,2768,1842,470,3301,5060,3312,941,5255,2735,2926,2083,3800,626,1718,1573,805,1533,1720,4602,1304,5135,4959,795,7255,8499,6460,4048,4203,256,454,378,2439,94867.7,1223286,1588295.3288,1071,538,2965,1601,513,3149,5695,3453,1061,4910,2907,3082,1994,3139,714,1374,1863,683,1626,1566,4297,1379,5023,4367,907,6420,8717,6208,4196,4621,250,442,459,2494,93679,1223286,1588295.3288
"75_SKYRA.long.template_75",1012,614,2695,1828,476,3288,5117,3309,928,5291,2725,2856,2006,3756,627,1683,1558,775,1497,1677,4400,1280,5003,4917,793,7173,8194,6463,3977,4205,261,472,391,2478,93718.3,1196021,1588295.3288,1092,528,2933,1625,518,3153,5766,3443,1106,5063,2884,3139,1877,3135,725,1342,1829,671,1596,1583,4106,1359,4905,4327,867,6376,8463,6231,4147,4632,244,462,463,2470,93059.2,1196021,1588295.3288
"76_VERIO.long.template_76",1014,860,2297,1551,381,3087,5152,3889,886,4876,2805,3032,2244,3833,641,1828,1609,1029,1556,1697,4281,1318,5211,4081,676,6538,8178,5740,4026,3991,300,463,359,2392,91821.3,1178614,1593832.48468,1057,656,2284,1441,455,3368,4590,3674,887,5022,2928,2840,2165,3571,686,1798,1733,808,1193,1648,4269,1231,4970,3860,1001,6346,8781,6174,4172,4460,322,531,492,2233,91647.9,1178614,1593832.48468
"76_SKYRA.long.template_76",1042,874,2286,1595,374,3151,5287,3950,905,5001,2775,3130,2217,3872,647,1776,1608,995,1553,1650,4179,1305,5077,4079,668,6533,8004,5840,3984,4058,295,491,362,2249,91812,1170905,1593832.48468,1088,654,2253,1456,456,3402,4716,3703,911,5233,2956,2984,2146,3533,679,1761,1722,802,1175,1647,4136,1245,4855,3883,994,6325,8560,6269,4134,4504,323,557,472,2234,91769.3,1170905,1593832.48468
"77_VERIO.long.template_77",814,829,2218,1827,348,3699,5673,4188,1013,5770,3538,3483,2385,4323,681,1400,1577,914,1757,1853,4631,1524,5287,4485,716,7663,9626,5984,4602,4784,393,498,395,2554,101433,1352284,1792841.9253,1122,834,2422,1598,415,3392,4713,4302,1103,5607,3644,3346,2450,4393,616,1560,1643,882,1570,1525,4967,1503,5429,4617,1164,7053,8961,5305,4755,5886,333,521,423,2768,100822,1352284,1792841.9253
"77_SKYRA.long.template_77",831,829,2158,1808,331,3662,5780,4200,985,5817,3257,3449,2362,4333,668,1367,1591,928,1742,1880,4425,1519,5150,4461,714,7477,9337,6030,4531,4790,392,533,386,2571,100292,1331298,1792841.9253,1141,825,2369,1618,425,3380,4846,4328,1072,5774,3564,3384,2385,4367,612,1562,1650,872,1568,1545,4870,1503,5295,4616,1138,7021,8719,5385,4779,5984,340,502,425,2735,100599,1331298,1792841.9253
"78_VERIO.long.template_78",987,973,2528,2015,318,3078,5580,3655,1122,5163,3122,3539,2170,3931,645,1765,1444,1116,1711,2111,4198,1480,5584,4764,807,8009,8226,6069,4448,3972,320,508,418,2755,98527.5,1316705,1731610.51133,983,753,2863,1933,405,3506,4845,3432,1101,5594,3099,3746,2017,3536,756,1570,1724,910,1849,1885,4553,1280,5553,4999,1013,8077,8882,6097,4437,4030,266,548,502,2972,99715,1316705,1731610.51133
