"bids_name","cjv","cnr","efc","fber","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","qi_1","qi_2","rpve_csf","rpve_gm","rpve_wm","size_x","size_y","size_z","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm","spacing_x","spacing_y","spacing_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","tpm_overlap_csf","tpm_overlap_gm","tpm_overlap_wm","wm2max"
"16_VERIO_D",0.33292002511541,3.85515937557637,0.463562206489944,3974.78588867188,3.19968,3.1322,3.45524,3.0116,0.17118134713861,0.442059595039224,0.386759057822166,1.51727342605591,0.294600546360016,0,0.0259754234703766,31.6717594162306,14.0690547292518,19.0933794369884,176,240,256,1.6037599031468,9.48422401398822,10.9770483984664,21.8431612782643,42.7272584983585,85.8927762722157,85.5026621595644,127.887951708119,1,1,1,7173.24069361329,5.12261533737183,7.80793714523315,6.90102291107178,3689174,0,20.7217432975769,12.0387725830078,40.9072873023937,139.229919433594,355.853790283203,334.091217041016,8628,161.78843460083,559.690347290039,208.305404663086,0.395566065846517,66.050910949707,672.708129882812,671.609252929688,17215,558.652813720703,793.160919189453,70.8112487792969,0.49820069453868,43.2690200805664,999.104675292969,999.976196289062,178632,922.192120361328,1072.73540649414,45.7797012329102,0.238179191946983,0.524424970149994,0.574224829673767,0.460905117889532
"17_SKYRA_D",0.369473056514111,3.56610147031775,0.559033075503653,2149.271484375,3.42877,3.43923,3.62818,3.2189,0.176975791494397,0.43286642283645,0.390157785669153,1.38824653625488,0.356352525949478,0,0.0137872543092223,29.2303765747361,13.5391959696914,18.2169625480609,176,240,256,2.89259114634036,10.118941116178,11.4741361840927,21.4108762897598,33.3062787560684,64.8992690622749,63.5956515659762,92.5814068795852,1,1,1,11.147401384946,7.07632255554199,8.62381267547607,4.82840776443481,2287443,0,19.7645879745483,7.06024980545044,0.0773200417534885,149.522842407227,361.427185058594,359.751007080078,8171,176.676628112793,555.759185791016,124.362197875977,0.112732352377522,68.1558151245117,701.967712402344,700.996276855469,24851,590.925140380859,818.997589111328,69.2742614746094,0.980445620886836,42.3177337646484,997.639465332031,999.999267578125,197156,916.323028564453,1068.9714050293,46.7050819396973,0.23982447385788,0.530154526233673,0.581405222415924,0.454653257224524
"17_SKYRA_ND",0.390843751705121,3.39506552758307,0.547250010490846,2229.69580078125,3.24449,3.27646,3.40787,3.04914,0.169082243736341,0.437882322282506,0.393035433981153,1.34647297859192,0.326171553134918,0,0.0108793676755447,30.2842571148904,13.4423492445059,18.0654527360508,176,240,256,2.77577904656443,9.53791370885124,10.9955831461307,20.6730566829764,32.4357858086895,64.8418586774554,63.2935490484745,92.6030026592787,1,1,1,9.11397773411087,7.07463645935059,8.42209720611572,4.78387069702148,2415871,0,23.9147386550903,8.23502826690674,5.93620912038286,146.700927734375,357.626556396484,350.265075683594,7269,176.861486816406,558.997387695312,126.177543640137,-4.16320112215374e-05,72.7157897949219,702.496154785156,700.209289550781,24040,584.90078125,827.677688598633,73.4117279052734,0.795771328767796,44.4532699584961,997.579956054688,999.994201660156,199110,913.449069213867,1071.82075805664,48.3717384338379,0.237775176763535,0.525809645652771,0.574602842330933,0.446417042028936
"17_VERIO_D",0.362627552977941,3.6029535683956,0.522296157047638,2197.4111328125,3.33589666666667,3.34327,3.52977,3.13465,0.175913114585736,0.426757565698996,0.397329319715267,1.53069758415222,0.38895680308342,0,0.0173221631231796,29.9246031635387,13.758807315298,18.0388122256664,176,240,256,2.36397035614087,9.49097364085038,10.8681456232351,20.7494928727141,42.2551075946102,88.483498497767,86.5860745185271,129.019617463204,1,1,1,7.46009043803958,5.07775354385376,8.55419635772705,6.83134078979492,2434100,0,23.8419498443604,7.77342653274536,26.8659281018308,140.896911621094,336.955169677734,327.505889892578,7563,158.705323791504,530.539367675781,138.531448364258,0.21366247837559,69.535530090332,688.0185546875,685.807434082031,17858,572.462240600586,810.860247802734,72.2568893432617,0.811628256039632,44.3957214355469,998.159423828125,999.989990234375,190901,915.445983886719,1073.25451660156,48.1933403015137,0.23554690182209,0.520431935787201,0.575595855712891,0.450440438151943
"18_SKYRA_D",0.364924522191027,3.60923962719,0.534258242654323,1868.99914550781,3.25482333333333,3.2803,3.41748,3.06669,0.188925102418049,0.443491450009885,0.367583447572066,1.39696574211121,0.327640855312348,0.101286305314009,0.0365530286083104,26.473245545859,12.6082675489422,18.2532847298071,176,240,256,2.11907203504977,10.0808377192946,11.068972515039,21.0070077907726,244.156004238817,423.197043973877,425.482016325394,609.093000763488,1,1,1,12283.1383304614,0.0755846127867699,6.78785228729248,5.13923740386963,1642319,0,15.4760105133057,11.593635559082,46.9261067154795,120.406753540039,402.455993652344,400.848510742188,7348,199.711911773682,569.612356567383,189.1494140625,-0.0945229566229351,69.3977127075195,695.880249023438,694.793090820312,21097,585.119274902344,812.609521484375,68.920524597168,1.30625676613994,41.9768104553223,997.380187988281,999.991882324219,188717,914.33046875,1068.9580078125,47.6026496887207,0.211187094449997,0.524368464946747,0.572629809379578,0.440680520371377
"18_SKYRA_ND",0.38446318536805,3.35435364939382,0.521578501574313,4051.16186523438,3.10602,3.14736,3.26241,2.90829,0.177293227836529,0.451712498720576,0.370994273442894,1.46133303642273,0.358901256322861,0,0.0260346045490706,27.8137438793751,12.3473728068145,17.8540841419646,176,240,256,1.88988768731577,9.14948426784129,10.3643058119051,20.0535454805582,28.1340914709179,58.1113633947303,56.6971765081605,83.8460746588333,1,1,1,10165.8801102568,7.81340980529785,7.93181800842285,5.27724027633667,2466311,0,21.1056747436523,12.1702098846436,54.624173596584,148.257354736328,356.306945800781,335.538055419922,9650,168.381596374512,561.747357177734,177.534713745117,-0.0240206109570131,73.7433471679688,695.084838867188,693.05859375,18704,572.976495361328,825.82314453125,75.7463531494141,1.23273535717185,44.256908416748,997.285095214844,999.980712890625,192191,910.608795166016,1072.72247314453,49.8654022216797,0.233758881688118,0.524603188037872,0.570159077644348,0.423559416474454
"18_VERIO_D",0.350391000078632,3.69465598915928,0.498489335044174,3266.12817382812,3.15348333333333,3.18307,3.33219,2.94519,0.18143314025016,0.442349446972368,0.376217412777472,1.52856886386871,0.381393039226532,0,0.0366985576876775,27.538092610888,12.5826738381968,17.7516277978292,176,240,256,1.69233639069612,8.95296105090591,10.3992939528967,20.552584417088,37.1757211280886,82.6934467561499,81.1388110088419,123.547265142287,1,1,1,849.707664737608,5.30257940292358,8.62781238555908,7.13518714904785,2790538,0,21.4585901260376,7.3629584312439,49.7142316136808,141.641128540039,327.647766113281,300.894927978516,8363,147.197485351563,532.054901123047,177.787902832031,0.172528942427353,72.3657684326172,669.12109375,669.308837890625,16170,543.666717529297,793.667956542969,74.7560653686523,1.04468293671856,43.4962425231934,996.446166992188,999.973754882812,186457,909.940393066406,1068.89069824219,48.6542739868164,0.230853945016861,0.52304071187973,0.573513686656952,0.458322400273352
"19_SKYRA_D",0.436388608200936,3.08240359797522,0.608020444300582,1407.18078613281,3.30493,3.26729,3.50521,3.14229,0.208109959889914,0.418354533434763,0.373535506675323,1.42293310165405,0.361403602361679,0,0.0268182145314047,23.4838479300026,12.5692753137562,17.381825210557,176,240,256,3.00303743879628,9.85411684622177,10.846891097971,19.683519008895,31.8385684162765,52.7425892080937,52.4901029879381,72.8891513394442,1,1,1,3.27772362536222,8.98815536499023,11.9585542678833,12.1447153091431,2053510,0,29.9568245887756,8.23953342437744,67.3716663369283,74.8779525756836,432.156646728516,436.809814453125,12208,213.192489624023,564.621328735352,145.450042724609,0.0235726006559198,72.6011810302734,723.933898925781,723.602905273438,17832,603.813528442383,847.503280639648,73.4294738769531,0.493246992829314,48.0171203613281,998.198364257812,1000.00402832031,211722,911.64176940918,1078.12795410156,50.8040084838867,0.192306235432625,0.498359113931656,0.558054149150848,0.419931651106908
"19_SKYRA_ND",0.471726211797153,2.7986885304935,0.590649686713449,1511.18872070312,3.12501,3.12306,3.29187,2.9601,0.196665575549272,0.425155141026032,0.378179283424697,1.40859603881836,0.382113254070282,0,0.0131973767321656,24.6042877298432,12.4222099452665,17.0920593867904,176,240,256,2.75820461762078,8.84183620276759,9.95368629184288,18.2610180551403,32.4039711990291,53.0751735199767,52.9590578546678,73.3980288449978,1,1,1,4.06630501559523,8.9261531829834,11.5556135177612,12.0648698806763,2191397,0,30.2834789276123,10.05299949646,60.4135521701538,80.7937698364258,438.828430175781,441.500152587891,10511,210.414077758789,582.458282470703,160.060333251953,0.0320493237149106,78.4257125854492,724.838439941406,723.142761230469,15952,592.582434082031,865.826245117187,81.7839279174805,0.460299080665632,52.1935882568359,998.599365234375,1000.03918457031,214016,906.142501831055,1085.17379760742,54.7634773254395,0.189954429864883,0.495179086923599,0.549605250358582,0.410147917206983
"19_VERIO_D",0.41223854006212,3.0885858534811,0.547399505863349,2906.1591796875,3.19134333333333,3.17523,3.39318,3.00562,0.213589071435221,0.410009038451792,0.376401890112987,1.50839340686798,0.419763922691345,0,0.0183215319550058,23.4705586134721,12.6949928469242,17.1312757076942,176,240,256,2.64615455936808,8.51520589993522,10.0888579065703,19.1052132604076,44.325451582613,75.3507546892636,75.8624012023206,107.910997335085,1,1,1,3411.68553158176,6.07114410400391,9.42392349243164,8.17477130889893,3046672,0,24.570198059082,8.96328353881836,57.101134565778,95.0343170166016,404.578918457031,410.763641357422,9901,180.281280517578,556.184875488281,155.222564697266,0.441011998131236,75.4532699584961,700.018981933594,698.27490234375,13131,567.119598388672,839.766265869141,82.0001678466797,0.681501713961893,48.9337463378906,998.958312988281,1000.01043701172,202646,911.477935791016,1082.04656982422,52.3421516418457,0.189873918890953,0.488287538290024,0.549455523490906,0.427739221899986
"20_SKYRA_D",0.339614682946605,3.69023655256034,0.525765186888149,4363.28759765625,3.14261333333333,3.15488,3.34738,2.92558,0.190944984042996,0.441392969949575,0.367662046007429,1.47209537029266,0.34296942949295,0.0848864725049831,0.0532580018951957,28.9771511831845,13.9874724707479,19.8632649365433,176,240,256,3.13278700428835,10.2241037565271,11.4007352327215,20.8453149373491,272.661710237303,434.057869544152,445.166974374936,628.781343343354,1,1,1,13799.1577984807,0.0419209524989128,6.17374467849731,5.06801891326904,2000746,0,15.2585525512695,13.5184993743896,43.9992976463334,98.6276626586914,421.067749023438,433.637878417969,5772,210.782649993896,567.302462768555,138.407211303711,0.292414760900123,62.3796043395996,690.8779296875,690.320373535156,15207,577.496472167969,804.259002685547,67.5166931152344,1.06880858281633,42.7942581176758,997.170349121094,1000.00622558594,170848,912.938980102539,1069.93243408203,47.9725685119629,0.207130312919617,0.518842577934265,0.574697434902191,0.447481281581774
"20_SKYRA_ND",0.366300657493678,3.46949674646487,0.512659928464618,4642.52734375,2.96767,2.99412,3.13647,2.77242,0.185601710523385,0.445287675456505,0.36911061402011,1.35708022117615,0.294694453477859,0,0.0234059438873168,29.7547345940451,13.9488944810898,19.9810216210792,176,240,256,3.20793620032011,9.86504861157796,11.0435863444649,20.0577742214966,39.1296658299034,61.2515106447309,62.7687550064308,87.9250885446581,1,1,1,11895.4515157251,7.45110988616943,7.05134344100952,5.02569723129272,2782115,0,20.097410774231,13.1745023727417,68.7273920521116,91.6133117675781,431.740356445312,445.036254882812,5702,223.828211975098,582.378036499023,138.71760559082,0.227170413158189,65.5874633789062,699.291137695312,696.63623046875,13794,583.734078979492,821.771884155273,70.6140441894531,0.828018026486175,45.5366287231445,997.592712402344,1000.00476074219,170325,911.12880859375,1074.46323242188,49.856071472168,0.203135877847672,0.515887975692749,0.574090182781219,0.441989342115919
"20_VERIO_D",0.359479023002975,3.49903047485627,0.500852075792816,2068.93212890625,3.12920666666667,3.13164,3.31249,2.94349,0.187846067298414,0.435027150964729,0.377126781736857,1.52625560760498,0.383199363946915,0,0.0146761983381829,29.7553793539232,14.1474369513909,19.6471519652747,176,240,256,2.33743194664043,9.62596059112137,10.7173248527286,20.1885820204241,39.7482300887938,83.7206466025828,81.6197164907011,121.390272780727,1,1,1,5484.09519960904,5.39689683914185,7.97706890106201,7.25979375839233,2630735,0,21.8383007049561,16.6978950500488,4.42473842138238,174.230743408203,334.791015625,327.438842773438,6002,143.124963378906,554.661041259766,140.073196411133,0.414526164406698,65.6916580200195,689.215881347656,689.67578125,12936,568.592056274414,806.890350341797,71.6447067260742,0.757570912310191,45.8603172302246,997.993408203125,999.991455078125,164855,913.312396240234,1074.94870605469,49.5323753356934,0.227652966976166,0.516649663448334,0.573487937450409,0.43487751337179
"21_SKYRA_D",0.391132578854174,3.34944338262867,0.606736312537282,2058.21264648438,3.24084,3.28179,3.43051,3.01022,0.192760363055741,0.441328716823101,0.365910920121159,1.34061849117279,0.330914777517318,0,0.0250890640517325,23.3422674080511,11.3790922416199,16.4490531472152,176,240,256,2.78606119013483,9.18805397308193,10.3125466206923,18.9635246988602,32.0717916371757,61.0019095139226,60.5288593544989,88.5128769123984,1,1,1,7009.5588441493,7.40156507492065,9.09386157989502,5.10065126419067,2325777,0,20.407751083374,14.2876710891724,3.86256141728885,148.711822509766,364.236999511719,362.338989257812,7600,170.744511413574,561.613729858398,130.045654296875,-0.0482299204446335,74.0808868408203,691.609558105469,689.184143066406,24629,571.345629882813,820.709228515625,75.007194519043,0.975780511423329,47.48779296875,996.754638671875,999.99609375,212616,903.578323364258,1076.76477050781,52.7324829101562,0.215092942118645,0.516047298908234,0.560738384723663,0.460137480565131
"21_SKYRA_ND",0.397764543088969,3.24740959030751,0.592725595661392,4541.47900390625,3.07158,3.15152,3.19687,2.86635,0.182626307402404,0.446268341160325,0.371105351437271,1.38979482650757,0.356677412986755,0,0.0164962879253173,24.4430773298565,11.2908117071061,16.1605419470183,176,240,256,2.68318172615025,8.64023642255092,9.89453543003875,18.3601881414151,31.6557296650346,59.5548779440394,59.4095219130209,87.0179581299887,1,1,1,6068.53806177757,7.52863931655884,8.93868160247803,5.09184598922729,2425951,0,25.3886489868164,14.3035955429077,3.04717898041388,155.724426269531,367.969299316406,363.778564453125,6978,171.250135803223,574.92808227539,135.567596435547,0.0954041381705815,75.5067520141602,687.69677734375,684.387573242188,20943,561.531640625,827.969635009766,79.2074661254883,0.804671471018744,50.0268783569336,997.26611328125,999.985412597656,215963,902.507775878906,1080.85280761719,54.4647521972656,0.21475575864315,0.514565944671631,0.560381531715393,0.442061056939018
"21_VERIO_D",0.393718858480521,3.23454506583146,0.560777691062586,2764.10375976562,3.22082666666667,3.22854,3.45273,2.98121,0.19923472200691,0.426786948377336,0.373978329615754,1.46452796459198,0.377385854721069,0,0.0247907721886977,23.3614843947573,11.6616352063334,16.2092608114537,176,240,256,3.00260194957309,8.7679918149782,10.5522820393993,19.8862523536466,53.2115159153867,94.0169332301861,94.2838980298357,135.623244943934,1,1,1,5692.82133448496,4.83054876327515,8.37924003601074,6.491135597229,2937828,0,22.7226155281067,14.7048406600952,-0.249478545796866,134.972778320312,376.058532714844,392.347045898438,7261,159.739669799805,574.917907714844,130.660018920898,0.234267010056948,74.2059478759766,695.189819335938,693.219604492188,17882,565.584271240234,831.306701660156,79.0603179931641,0.956290666898166,46.5782699584961,999.143188476562,999.997436523438,198168,915.801025390625,1078.78397216797,50.2857398986816,0.209538012742996,0.507056534290314,0.564000308513641,0.429673766781486
"22_SKYRA_D",0.337683043824716,3.87697991382356,0.522215760288811,1730.4423828125,3.25216,3.27451,3.42776,3.05421,0.189807371775257,0.438439682268505,0.371752945956237,1.42263841629028,0.278123760223389,0,0.0147855463646284,29.7109260817574,14.3250175128763,20.6490788122006,176,240,256,3.36474569158792,10.1817299521891,11.4538973202962,20.8152163171117,34.2184180125362,58.4350325061771,59.5363383766833,85.9555646113366,1,1,1,8.15038615718452,7.62177133560181,9.78381252288818,10.3118848800659,2478856,0,21.142852306366,7.34937572479248,-0.294730143003529,116.148681640625,371.925598144531,398.092620849609,4959,176.331178283691,537.065686035156,118.300910949707,0.166503443382933,64.9372787475586,682.189880371094,679.825561523438,17066,574.834228515625,797.664321899414,66.767204284668,1.01933699531384,43.1787986755371,998.203918457031,999.995849609375,163277,916.031616210938,1072.92319335937,48.041431427002,0.222218349575996,0.521391689777374,0.575850903987885,0.445651742778031
